State,Petrol Price,Diesel Price
Andhra Pradesh,110.48,98.27
Assam,96.01,83.94
Bihar,107.24,94.04
Chhattisgarh,102.45,95.44
Gujarat,96.305,92.06
Haryana,97.33500000000001,90.19999999999999
Himachal Pradesh,97.58,83.36
Jammu And Kashmir,99.805,85.14500000000001
Jharkhand,99.805,94.605
Karnataka,101.50999999999999,87.49
Kerala,105.89,94.84
Madhya Pradesh,108.665,93.93
Maharashtra,109.23666666666666,95.59499999999998
Odisha,103.19,94.76
Punjab,96.505,85.70500000000001
Rajasthan,108.48,93.72
Tamil Nadu,103.09200000000001,94.71199999999999
Telangana,109.66,97.82
Uttar Pradesh,96.53333333333332,89.71499999999999
Uttarakhand,95.28,90.29
West Bengal,106.03,92.76
NCT of Delhi,96.72,89.62
